Gloss	Lang_A	Lang_B	Accuracy	Precision	Recall	F1
aquam	Ladino	Ligurian	0.6000	0.6000	0.6000	0.6000
auriculam	French	Ladino	0.7143	0.7143	0.7143	0.7143
auriculam	Italian	Ladino	0.0000	0.0000	0.0000	0.0000
auriculam	Ladino	Ligurian	0.2857	0.2857	0.2857	0.2857
auriculam	Ladino	Lombard(East)	0.2857	0.2857	0.2857	0.2857
auriculam	Ladino	Lombard(West)	1.0000	1.0000	1.0000	1.0000
auriculam	Ladino	Occitan	0.2857	0.2857	0.2857	0.2857
auriculam	Ladino	Venetian	0.1429	0.1429	0.1429	0.1429
bestiam	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
bestiam	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
bestiam	Ladino	Lombard(East)	1.0000	1.0000	1.0000	1.0000
bestiam	Ladino	Lombard(West)	1.0000	1.0000	1.0000	1.0000
bestiam	Ladino	Occitan	1.0000	1.0000	1.0000	1.0000
bestiam	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
bracchium	French	Italian	1.0000	1.0000	1.0000	1.0000
bracchium	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
bracchium	Italian	Ligurian	0.5000	0.5000	0.5000	0.5000
bracchium	Italian	Lombard(East)	0.6667	0.6667	0.6667	0.6667
bracchium	Italian	Lombard(West)	0.6667	0.6667	0.6667	0.6667
bracchium	Italian	Occitan	0.6667	0.6667	0.6667	0.6667
bracchium	Italian	Venetian	0.5000	0.5000	0.5000	0.5000
caelum	French	Italian	0.6000	0.6000	0.6000	0.6000
capram	French	Lombard(West)	0.3333	0.3333	0.3333	0.3333
capram	Italian	Ligurian	0.6667	0.6667	0.6667	0.6667
capram	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
capram	Ladino	Lombard(West)	0.5000	0.5000	0.5000	0.5000
capram	Ligurian	Lombard(East)	0.3333	0.3333	0.3333	0.3333
capram	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
capram	Lombard(East)	Lombard(West)	0.5000	0.5000	0.5000	0.5000
capram	Lombard(West)	Occitan	0.5000	0.5000	0.5000	0.5000
capram	Lombard(West)	Venetian	0.6667	0.6667	0.6667	0.6667
cornu	Lombard(East)	Lombard(West)	0.7143	0.7143	0.7143	0.7143
decem	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
decem	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
decem	Italian	Lombard(West)	0.4000	0.4000	0.4000	0.4000
decem	Italian	Occitan	1.0000	1.0000	1.0000	1.0000
decem	Ligurian	Lombard(East)	0.2000	0.2000	0.2000	0.2000
decem	Lombard(East)	Venetian	0.2000	0.2000	0.2000	0.2000
dentem	French	Italian	1.0000	1.0000	1.0000	1.0000
dentem	French	Ligurian	1.0000	1.0000	1.0000	1.0000
dentem	French	Venetian	1.0000	1.0000	1.0000	1.0000
dentem	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
dentem	Italian	Ligurian	1.0000	1.0000	1.0000	1.0000
dentem	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
dentem	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
dentem	Italian	Occitan	1.0000	1.0000	1.0000	1.0000
dentem	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
dentem	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
dentem	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
dentem	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
dentem	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
dentem	Ligurian	Occitan	1.0000	1.0000	1.0000	1.0000
dentem	Ligurian	Venetian	1.0000	1.0000	1.0000	1.0000
dentem	Lombard(East)	Venetian	1.0000	1.0000	1.0000	1.0000
dentem	Lombard(West)	Venetian	1.0000	1.0000	1.0000	1.0000
dentem	Occitan	Venetian	1.0000	1.0000	1.0000	1.0000
duo	French	Italian	1.0000	1.0000	1.0000	1.0000
duo	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
duo	Italian	Ligurian	1.0000	1.0000	1.0000	1.0000
duo	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
duo	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
duo	Italian	Occitan	1.0000	1.0000	1.0000	1.0000
duo	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
lacrimam	French	Lombard(East)	0.7500	0.7500	0.7500	0.7500
lacrimam	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lacrimam	Ladino	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lacrimam	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lacrimam	Lombard(East)	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lacrimam	Lombard(East)	Occitan	0.7500	0.7500	0.7500	0.7500
lacrimam	Lombard(East)	Venetian	1.0000	1.0000	1.0000	1.0000
lanam	French	Italian	1.0000	1.0000	1.0000	1.0000
lanam	French	Ladino	1.0000	1.0000	1.0000	1.0000
lanam	French	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lanam	French	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lanam	French	Venetian	1.0000	1.0000	1.0000	1.0000
lanam	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
lanam	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lanam	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lanam	Italian	Occitan	0.5000	0.5000	0.5000	0.5000
lanam	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
lanam	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
lanam	Ladino	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lanam	Ladino	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lanam	Ladino	Occitan	0.5000	0.5000	0.5000	0.5000
lanam	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
lanam	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
lanam	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lanam	Lombard(East)	Lombard(West)	1.0000	1.0000	1.0000	1.0000
lanam	Lombard(East)	Occitan	0.5000	0.5000	0.5000	0.5000
