ID	Dashi_REF	Dashi_SEQ	Ega_REF	Ega_SEQ	Enqi_REF	Enqi_SEQ	Eryuan_REF	Eryuan_SEQ	Gongxing_REF	Gongxing_SEQ	Heqing_REF	Heqing_SEQ	Jianchuan_REF	Jianchuan_SEQ	Jinman_REF	Jinman_SEQ	Jinxing_REF	Jinxing_SEQ	Lanping_REF	Lanping_SEQ	Luobenzhuo_REF	Luobenzhuo_SEQ	Mazhelong_REF	Mazhelong_SEQ	Qiliqiao_REF	Qiliqiao_SEQ	Tuoluo_REF	Tuoluo_SEQ	Xiangyun_REF	Xiangyun_SEQ	Yunlong_REF	Yunlong_SEQ	Zhoucheng_REF	Zhoucheng_SEQ
I	ŋ õ - ³¹	ŋ õ ³¹	ŋ o - ⁴²	ŋ o ⁴²	ɴ o - ⁴³	ɴ o ⁴³	ŋ ɔ - ³¹	ŋ ɔ ³¹	ŋ a - ⁴²	ŋ a ⁴²	ŋ ɔ - ³¹	ŋ ɔ ³¹	ŋ o - ³¹	ŋ o ³¹	- õ - ⁴²	õ ⁴²	w õ - ³¹	w õ ³¹	ŋ ɔ̃ - ³¹	ŋ ɔ̃ ³¹	ɴ ɔ - ⁴²	ɴ ɔ ⁴²	n e n ⁴²	n e n ⁴²	ŋ ɔ - ³¹	ŋ ɔ ³¹	ŋ ɔ - ²¹	ŋ ɔ ²¹	ŋ ɔ - ³¹	ŋ ɔ ³¹	ŋ ɔ - ³¹	ŋ ɔ ³¹	ŋ o - ³¹	ŋ o ³¹
ant	p - i - ²¹ p - o - ²¹ - - -	p i ²¹ p o ²¹	ʨ - i - ²¹ p - ɯ - ²¹ - - -	ʨ i ²¹ p ɯ ²¹	ʦ - u - ⁴³ p - ɯ - ²¹ - - -	ʦ u ⁴³ p ɯ ²¹	p - i - ²¹ p - ɯ - ³¹ - - -	p i ²¹ p ɯ ³¹	ʣ - u - ¹² b - u - ¹² - - -	ʣ u ¹² b u ¹²	p - i - ²¹ p - ɯ - ²¹ ʦ ɿ ³³	p i ²¹ p ɯ ²¹ ʦ ɿ ³³	p - ĩ - ²¹ p - o - ²¹ ʦ ɿ ³³	p ĩ ²¹ p o ²¹ ʦ ɿ ³³	ʨ - i - ²¹ p - ɯ - ²¹ - - -	ʨ i ²¹ p ɯ ²¹	p j e n ²¹ p - õ - ²¹ - - -	p j e n ²¹ p õ ²¹	p - i - ³³ p w a - ³³ ʦ ɿ ⁴⁴	p i ³³ p w a ³³ ʦ ɿ ⁴⁴	ʨ - i - ³¹ p - ɯ - ²¹ - - -	ʨ i ³¹ p ɯ ²¹	p - i - ⁵⁵ p - ǝɯ - ²¹ - - -	p i ⁵⁵ p ǝɯ ²¹	p - i - ²¹ p - ɯ - ³¹ - - -	p i ²¹ p ɯ ³¹	ʨ j e n ⁵⁵ - - - - - - - -	ʨ j e n ⁵⁵	p - i - ²¹ p - o w ²¹ ʦ ɿ ³³	p i ²¹ p o w ²¹ ʦ ɿ ³³	p - i - ²¹ p - ɯ - ³¹ - - -	p i ²¹ p ɯ ³¹	p - i - ²¹ p - ɯ - ²¹ - - -	p i ²¹ p ɯ ²¹
bamboo	t͡ʂ - o ³³ - - -	t͡ʂ o ³³	ʨ - u ⁴⁴ - - -	ʨ u ⁴⁴	ʨ - o ⁵⁵ - - -	ʨ o ⁵⁵	t͡ʂ - ɤ ⁴⁴ - - -	t͡ʂ ɤ ⁴⁴	ʦ w a ²⁴ - - -	ʦ w a ²⁴	ʦ w ɔ ⁴⁴ - - -	ʦ w ɔ ⁴⁴	ʦ - ɤ ⁴⁴ - - -	ʦ ɤ ⁴⁴	ʨ - u ⁵⁵ - - -	ʨ u ⁵⁵	ʦ - ɤ ⁴⁴ - - -	ʦ ɤ ⁴⁴	ʦ w a ⁵⁵ ʦ ɯ ³³	ʦ w a ⁵⁵ ʦ ɯ ³³	ʨ - o ⁵⁵ ɖ ɯ ³¹	ʨ o ⁵⁵ ɖ ɯ ³¹	ʦ - u ⁴⁴ - - -	ʦ u ⁴⁴	ʦ - ɤ ⁴⁴ - - -	ʦ ɤ ⁴⁴	t͡ʂ - ɤ ⁴² - - -	t͡ʂ ɤ ⁴²	ʦ - ɛ ⁴⁴ - - -	ʦ ɛ ⁴⁴	ʦ - ɤ ⁴⁴ - - -	ʦ ɤ ⁴⁴	ʦ - ɤ ⁴⁴ - - -	ʦ ɤ ⁴⁴
bark	t͡ʂ - ɯ - ²¹ p - e ²¹ - - -	t͡ʂ ɯ ²¹ p e ²¹					- - - - - p - i ³¹ ʂ e ⁴²	p i ³¹ ʂ e ⁴²	d͡ʐ - i - ¹² b - i ²¹ - - -	d͡ʐ i ¹² b i ²¹	- - - - - p - i ³¹ sʰ e ⁴⁴	p i ³¹ sʰ e ⁴⁴	- - - - - p - i ³¹ - - -	p i ³¹			ʦ - ɯ - ³¹ p - e ²¹ - - -	ʦ ɯ ³¹ p e ²¹	- - - - - p - ĩ ⁴² s e ⁴⁴	p ĩ ⁴² s e ⁴⁴	ʥ - ỹ - ⁴² - - - - - - -	ʥ ỹ ⁴²	ɕ - e n ⁵⁵ p - e ²¹ - - -	ɕ e n ⁵⁵ p e ²¹	- - - - - p - i ³¹ s e ⁴⁴	p i ³¹ s e ⁴⁴	d j ɯ - ²¹ b - i ³⁵ - - -	d j ɯ ²¹ b i ³⁵	- - - - - p - i ³¹ - - -	p i ³¹	- - - - - b j ɯ ²¹ s ɛ ⁵⁵	b j ɯ ²¹ s ɛ ⁵⁵	ʦ - ɯ - ⁰ p - e ²¹ - - -	ʦ ɯ ⁰ p e ²¹
barley	- - - z - a w ²¹	z a w ²¹	- - - z - o - ²¹	z o ²¹	- - - z - o - ⁴³	z o ⁴³	m i ³⁵ z - ɔ - ²¹	m i ³⁵ z ɔ ²¹	- - - z w a - ¹²	z w a ¹²	m i ⁵⁵ z - ɔ w ³¹	m i ⁵⁵ z ɔ w ³¹	m e ⁵⁵ s - o w ²¹	m e ⁵⁵ s o w ²¹	- - - z w a - ²¹	z w a ²¹	- - - s - o w ²¹	s o w ²¹	m e ⁵⁵ ʐ w a - ²¹	m e ⁵⁵ ʐ w a ²¹	m ɯ̃ ⁵⁵ ʐ w a - ³¹	m ɯ̃ ⁵⁵ ʐ w a ³¹	- - - z - o - ²¹	z o ²¹	m i ³⁵ s - ɔ - ²¹	m i ³⁵ s ɔ ²¹	- - - z - ɔ - ³⁵	z ɔ ³⁵	m i ³⁵ z - o - ²¹	m i ³⁵ z o ²¹	m i ³⁵ z - ɔ - ²¹	m i ³⁵ z ɔ ²¹	- - - z - o - ²¹	z o ²¹
bed					- - - - - t j o - ²¹ - - -	t j o ²¹	- - - - - t͡ʂ - ɔ - ³¹ - - -	t͡ʂ ɔ ³¹	- - - - - ʣ - o ŋ ¹² - - -	ʣ o ŋ ¹²	- - - - - ʦ - ɔ̃ w ²¹ - - -	ʦ ɔ̃ w ²¹	- - - - - ʦ - õ w ²¹ - - -	ʦ õ w ²¹			- - - - - ʦ - õ - ²¹ - - -	ʦ õ ²¹	- - - - - ʦ - ɔ - ³³ - - -	ʦ ɔ ³³	ɴ̣ ³³ t ĩ ³³ ʧʰ - ʊ - ³¹ qʰ ã ⁴²	ɴ̣ ³³ t ĩ ³³ ʧʰ ʊ ³¹ qʰ ã ⁴²			- - - - - ʦ - o - ²¹ - - -	ʦ o ²¹	- - - - - d j o ŋ ³⁵ - - -	d j o ŋ ³⁵					- - - - - ʦ - o - ²¹ - - -	ʦ o ²¹
bee	- - - f ɤ̃ - ⁵⁵	f ɤ̃ ⁵⁵	- - - x õ - ⁵⁵	x õ ⁵⁵	- - - f o - ²⁴	f o ²⁴	ʦ ɿ ⁵⁵ f ɤ - ⁵⁵	ʦ ɿ ⁵⁵ f ɤ ⁵⁵	- - - p͡f u ŋ ⁵⁵	p͡f u ŋ ⁵⁵	- - - f ɤ̃ - ⁵⁵	f ɤ̃ ⁵⁵	- - - f ɤ̃ - ⁵⁵	f ɤ̃ ⁵⁵	- - - x õ - ⁵⁵	x õ ⁵⁵	- - - f ɤ̃ - ⁵⁵	f ɤ̃ ⁵⁵	- - - f ɯ̃ - ⁵⁵	f ɯ̃ ⁵⁵	ʨ ɛ̃ ⁵⁵ ɴ̥ - ɴ̣ ⁵⁵	ʨ ɛ̃ ⁵⁵ ɴ̥ ɴ̣ ⁵⁵	- - - pʰ e n ⁵⁵	pʰ e n ⁵⁵	- - - f ɤ - ⁵⁵	f ɤ ⁵⁵	- - - f ɚ̃ - ⁵⁵	f ɚ̃ ⁵⁵	- - - f ɯ̃ - ⁵⁵	f ɯ̃ ⁵⁵	ʦ ɿ ⁵⁵ f ɤ - ⁵⁵	ʦ ɿ ⁵⁵ f ɤ ⁵⁵	- - - f ɤ - ⁵⁵	f ɤ ⁵⁵
behind	- - - - - ɣ ɯ ³³ - - - - - -	ɣ ɯ ³³	- - - - - x ɯ̃ ²² - - - - - -	x ɯ̃ ²²	- - - - - - ɯ ²² - - - - - -	ɯ ²²	- - - - - ɣ ɯ ³³ - - - p ɔ ³¹	ɣ ɯ ³³ p ɔ ³¹	- - - - - ɣ e ²² - - - - - -	ɣ e ²²	- - - - - ɣ ɯ ³³ m i ⁴² - - -	ɣ ɯ ³³ m i ⁴²	- - - - - ɣ ɯ ³³ m i ⁴² - - -	ɣ ɯ ³³ m i ⁴²	- - - - - x ẽ ⁵⁵ - - - - - -	x ẽ ⁵⁵	- - - - - ɣ eǝ ³³ - - - - - -	ɣ eǝ ³³	- - - - - ɣ ɯ ⁴⁴ m i ³³ n ɔ ⁴⁴	ɣ ɯ ⁴⁴ m i ³³ n ɔ ⁴⁴	- - d ɯ̃ ³¹ x ɯ̃ ³³ - - - - - -	d ɯ̃ ³¹ x ɯ̃ ³³	- - - - - ɣ ǝ ³³ - - - - - -	ɣ ǝ ³³	ɔ ²¹ t ɔ ³⁵ - - - m i ⁴⁴ - - -	ɔ ²¹ t ɔ ³⁵ m i ⁴⁴	- - - - - ɣ ɯ ³³ - - - - - -	ɣ ɯ ³³	- - - - - ɣ ɯ ³³ - - - s ɛ̃ ²¹	ɣ ɯ ³³ s ɛ̃ ²¹	- - d ɔ ³¹ x ɯ ⁵⁵ - - - - - -	d ɔ ³¹ x ɯ ⁵⁵	- - - - - ɣ ɯ ³³ - - - - - -	ɣ ɯ ³³
big	t - o w ⁴²	t o w ⁴²	d - o - ⁴²	d o ⁴²	d - a - ⁴³	d a ⁴³	t - ɔ - ³¹	t ɔ ³¹	d - a - ⁴²	d a ⁴²	t - ɔ w ⁴²	t ɔ w ⁴²	t - o w ⁴²	t o w ⁴²	d - o - ⁴²	d o ⁴²	t - o w ⁴²	t o w ⁴²	t - o - ³¹	t o ³¹	ʈ w a - ⁴⁴	ʈ w a ⁴⁴	d - o - ⁴²	d o ⁴²	t - ɔ - ³¹	t ɔ ³¹	d - ɔ - ²¹	d ɔ ²¹	t - ɔ w ²¹	t ɔ w ²¹	d w a - ³¹	d w a ³¹	t - o - ⁴²	t o ⁴²
bird	ʦ - o w ³³ - - -	ʦ o w ³³	ʦ - u - ⁴⁴ - - -	ʦ u ⁴⁴	ʦ - u - ⁵⁵ - - -	ʦ u ⁵⁵	ʦ - ɔ - ⁵⁵ - - -	ʦ ɔ ⁵⁵	ʦ - u - ²⁴ - - -	ʦ u ²⁴	ʦ - o w ⁴⁴ ʦ ɿ ³³	ʦ o w ⁴⁴ ʦ ɿ ³³	ʦ - o w ⁴⁴ ʦ ɿ ³³	ʦ o w ⁴⁴ ʦ ɿ ³³	ʦ - o - ⁵⁵ - - -	ʦ o ⁵⁵	ʦ - o w ⁴⁴ - - -	ʦ o w ⁴⁴	ʦ - u - ⁵⁵ ʦ ɿ ⁵⁵	ʦ u ⁵⁵ ʦ ɿ ⁵⁵	ʦ w ɔ - ⁵⁵ - - -	ʦ w ɔ ⁵⁵	ʦ - o - ⁴⁴ - - -	ʦ o ⁴⁴	ʦ - o - ⁴⁴ - - -	ʦ o ⁴⁴	ʦ - u - ⁴² - - -	ʦ u ⁴²	ʦ - ɔ - ⁴⁴ - - -	ʦ ɔ ⁴⁴	ʦ - u - ⁴⁴ - - -	ʦ u ⁴⁴	ʦ - o w ⁴⁴ - - -	ʦ o w ⁴⁴
