ID	LANGUAGE	GLOTTOCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	COGID	TOKENS	ALIGNMENT
cat-465_april-1	Catalan	stan1289	2847	APRIL	abril	əβɾiɫ	1	ə β ɾ i lˠ	ə β ɾ i lˠ - - -
fra-465_april-1	French	stan1290	2847	APRIL	avril	aˈvʁil	1	a v ʁ i l	a v ʁ i l - - -
ita-465_april-1	Italian	ital1282	2847	APRIL	aprile	aprile	1	a p r i l e	a p r i l - e -
lat-465_april-1	Latin	lati1261	2847	APRIL	Aprilis	apriːɫɪs	1	a p r iː lˠ ɪ s	a p r iː lˠ - ɪ s
por-465_april-1	Portuguese	port1283	2847	APRIL	Abril	ɐˈβriɫ	1	ɐ β r i lˠ	ɐ β r i lˠ - - -
ron-465_april-1	Romanian	roma1327	2847	APRIL	aprilie	aprilje	1	a p r i l j e	a p r i l j e -
spa-465_april-1	Spanish	stan1288	2847	APRIL	abril	aβɾil	1	a β ɾ i l	a β ɾ i l - - -
cat-469_august-1	Catalan	stan1289	2851	AUGUST	agost	əɣɔs	2	ə ɣ ɔ s	ə - ɣ - - - ɔ s
fra-469_august-1	French	stan1290	2851	AUGUST	août	ut	4	u t	u t
ita-469_august-1	Italian	ital1282	2851	AUGUST	agosto	aɡosto	2	a g o s t o	a - g o s t o -
lat-469_august-1	Latin	lati1261	2851	AUGUST	Augustus	aʊ̯ɡʷstʊs	2	a ʊ gʷ s t ʊ s	a ʊ gʷ - s t ʊ s
por-469_august-1	Portuguese	port1283	2851	AUGUST	Agosto	ɐˈɣɔʃtu	2	ɐ ɣ ɔ ʃ t u	ɐ - ɣ ɔ ʃ t u -
ron-469_august-1	Romanian	roma1327	2851	AUGUST	august	awɡust	3	a w g u s t	a w g u s t
spa-469_august-1	Spanish	stan1288	2851	AUGUST	agosto	aɣosto	2	a ɣ o s t o	a - ɣ o s t o -
cat-473_december-1	Catalan	stan1289	2855	DECEMBER	desembre	d̪əzɛmβɾə	5	d̪ ə z ɛ m β ɾ ə	d̪ ə z - ɛ m β - ɾ - ə
fra-473_december-1	French	stan1290	2855	DECEMBER	décembre	deˈsɑ̃ːbʁə	5	d e s ɑ̃ː b ʁ ə	d e s - ɑ̃ː - b - ʁ - ə
ita-473_december-1	Italian	ital1282	2855	DECEMBER	dicembre	dit͡ʃembre	5	d i tʃ e m b r e	d i tʃ - e m b - r - e
lat-473_december-1	Latin	lati1261	2855	DECEMBER	December	dɛkɛmbɛr	5	d ɛ k ɛ m b ɛ r	d ɛ k - ɛ m b ɛ r - -
